N=1024;N=512;N=256;N=128;N=64;N=32;N=16;N=8
298;203;;;;;;
305;95;;;;;;
167;205;;;;;;
225;285;;;;;;
300;340;;;;;;
537;394;;;;;;
772;124;;;;;;
115;182;;;;;;
387;354;;;;;;
212;211;;;;;;
157;401;;;;;;
306;299;;;;;;
656;185;;;;;;
110;206;;;;;;
171;240;;;;;;
117;344;;;;;;
329;356;;;;;;
549;307;;;;;;
158;402;;;;;;
226;286;;;;;;
538;417;;;;;;
337;327;;;;;;
326;111;;;;;;
416;213;;;;;;
271;301;;;;;;
672;418;;;;;;
776;186;;;;;;
63;360;;;;;;
550;396;;;;;;
389;159;;;;;;
199;227;;;;;;
118;309;;;;;;
579;214;;;;;;
173;331;;;;;;
540;188;;;;;;
216;449;;;;;;
330;302;;;;;;
553;217;;;;;;
338;404;;;;;;
279;333;;;;;;
308;119;;;;;;
390;218;;;;;;
121;310;;;;;;
179;339;;;;;;
228;368;;;;;;
332;229;;;;;;
784;408;;;;;;
704;233;;;;;;
581;420;;;;;;
554;230;;;;;;
448;123;;;;;;
312;175;;;;;;
174;313;;;;;;
393;314;;;;;;
122;391;;;;;;
181;220;;;;;;
232;450;;;;;;
283;334;;;;;;
527;395;;;;;;
561;341;;;;;;
582;424;;;;;;
353;355;;;;;;
556;125;;;;;;
295;234;;;;;;
203;183;;;;;;
95;207;;;;;;
205;241;;;;;;
285;342;;;;;;
340;397;;;;;;
394;432;;;;;;
643;236;;;;;;
124;316;;;;;;
800;357;;;;;;
585;287;;;;;;
562;187;;;;;;
182;345;;;;;;
354;398;;;;;;
211;403;;;;;;
401;452;;;;;;
299;361;;;;;;
185;126;;;;;;
206;242;;;;;;
586;456;;;;;;
240;215;;;;;;
564;405;;;;;;
535;346;;;;;;
344;189;;;;;;
645;244;;;;;;
356;409;;;;;;
307;358;;;;;;
402;303;;;;;;
832;362;;;;;;
286;464;;;;;;
417;419;;;;;;
593;406;;;;;;
588;190;;;;;;
327;348;;;;;;
111;219;;;;;;
213;311;;;;;;
568;369;;;;;;
646;421;;;;;;
301;231;;;;;;
418;248;;;;;;
186;480;;;;;;
360;335;;;;;;
594;410;;;;;;
